SIG_CD,시도명,시군구명,거래금액
46130,전라남도,여수시,18533.0
46150,전라남도,순천시,18972.0
46170,전라남도,나주시,20155.0
46230,전라남도,광양시,10514.0
46710,전라남도,담양군,15908.0
46720,전라남도,곡성군,11152.0
46730,전라남도,구례군,17209.0
46770,전라남도,고흥군,11242.0
46780,전라남도,보성군,10621.0
46790,전라남도,화순군,13325.0
46800,전라남도,장흥군,14298.0
46810,전라남도,강진군,14997.0
46820,전라남도,해남군,12918.0
46830,전라남도,영암군,5412.0
46840,전라남도,무안군,22098.0
46860,전라남도,함평군,12818.0
46870,전라남도,영광군,11694.0
46880,전라남도,장성군,9219.0
46890,전라남도,완도군,18956.0
46900,전라남도,진도군,13065.0
46910,전라남도,신안군,14600.0
47111,경상북도,포항시 남구,18803.0
47113,경상북도,포항시 북구,17865.0
47130,경상북도,경주시,16675.0
47150,경상북도,김천시,14249.0
47170,경상북도,안동시,13224.0
47190,경상북도,구미시,16172.0
47210,경상북도,영주시,11989.0
47230,경상북도,영천시,10698.0
47250,경상북도,상주시,13215.0
47280,경상북도,문경시,15061.0
47290,경상북도,경산시,18903.0
47720,경상북도,군위군,21351.0
47730,경상북도,의성군,12371.0
47750,경상북도,청송군,11452.0
47760,경상북도,영양군,12115.0
47770,경상북도,영덕군,14462.0
47820,경상북도,청도군,12705.0
47830,경상북도,고령군,10846.0
47840,경상북도,성주군,16383.0
47850,경상북도,칠곡군,10325.0
47900,경상북도,예천군,21554.0
47920,경상북도,봉화군,11314.0
47930,경상북도,울진군,13602.0
47940,경상북도,울릉군,13272.0
48121,경상남도,창원시 의창구,26572.0
48123,경상남도,창원시 성산구,28197.0
48125,경상남도,창원시 마산합포구,19828.0
48127,경상남도,창원시 마산회원구,23020.0
48129,경상남도,창원시 진해구,20426.0
48170,경상남도,진주시,23053.0
48220,경상남도,통영시,17475.0
48240,경상남도,사천시,13919.0
48250,경상남도,김해시,20595.0
48270,경상남도,밀양시,15177.0
48310,경상남도,거제시,16152.0
48330,경상남도,양산시,20594.0
48720,경상남도,의령군,17691.0
48730,경상남도,함안군,13043.0
48740,경상남도,창녕군,12373.0
48820,경상남도,고성군,12999.0
48840,경상남도,남해군,14390.0
48850,경상남도,하동군,10869.0
48860,경상남도,산청군,13168.0
48870,경상남도,함양군,15679.0
48880,경상남도,거창군,17041.0
48890,경상남도,합천군,15449.0
50110,제주특별자치도,제주시,30628.0
50130,제주특별자치도,서귀포시,24745.0
