,시도명,시군구명,동리명,년,월,구분,count,mean,거래날짜,타입
57,경기도,광명시,소하동,2022,10,월세,23.0,13733.08695652174,2022-10-01,apt
58,경기도,광명시,소하동,2022,10,전세,33.0,41972.42424242424,2022-10-01,apt
59,경기도,광명시,일직동,2022,10,월세,6.0,20000.0,2022-10-01,apt
60,경기도,광명시,일직동,2022,10,전세,23.0,57378.260869565216,2022-10-01,apt
61,경기도,광명시,철산동,2022,10,월세,33.0,20542.909090909092,2022-10-01,apt
62,경기도,광명시,철산동,2022,10,전세,79.0,40174.81012658228,2022-10-01,apt
63,경기도,광명시,하안동,2022,10,월세,73.0,7415.753424657534,2022-10-01,apt
64,경기도,광명시,하안동,2022,10,전세,174.0,26914.396551724138,2022-10-01,apt
65,경기도,동두천시,동두천동,2022,10,월세,1.0,1000.0,2022-10-01,apt
66,경기도,동두천시,상패동,2022,10,월세,1.0,500.0,2022-10-01,apt
67,경기도,동두천시,상패동,2022,10,전세,1.0,6000.0,2022-10-01,apt
68,경기도,동두천시,생연동,2022,10,월세,14.0,2655.6428571428573,2022-10-01,apt
69,경기도,동두천시,생연동,2022,10,전세,13.0,14730.76923076923,2022-10-01,apt
70,경기도,동두천시,송내동,2022,10,월세,10.0,1806.7,2022-10-01,apt
71,경기도,동두천시,송내동,2022,10,전세,12.0,15279.166666666666,2022-10-01,apt
72,경기도,동두천시,지행동,2022,10,월세,12.0,2750.0,2022-10-01,apt
73,경기도,동두천시,지행동,2022,10,전세,36.0,17103.472222222223,2022-10-01,apt
74,경기도,부천시,송내동,2022,10,월세,15.0,9500.0,2022-10-01,apt
75,경기도,부천시,송내동,2022,10,전세,28.0,29112.85714285714,2022-10-01,apt
76,경기도,부천시,고강동,2022,10,월세,6.0,883.3333333333334,2022-10-01,apt
77,경기도,부천시,고강동,2022,10,전세,8.0,15250.0,2022-10-01,apt
78,경기도,부천시,괴안동,2022,10,월세,17.0,3692.8823529411766,2022-10-01,apt
79,경기도,부천시,괴안동,2022,10,전세,24.0,23914.375,2022-10-01,apt
80,경기도,부천시,내동,2022,10,월세,1.0,1000.0,2022-10-01,apt
81,경기도,부천시,도당동,2022,10,월세,4.0,1000.0,2022-10-01,apt
82,경기도,부천시,도당동,2022,10,전세,2.0,11000.0,2022-10-01,apt
83,경기도,부천시,범박동,2022,10,월세,6.0,9333.333333333334,2022-10-01,apt
84,경기도,부천시,범박동,2022,10,전세,17.0,38485.294117647056,2022-10-01,apt
85,경기도,부천시,상동,2022,10,월세,37.0,9811.378378378378,2022-10-01,apt
86,경기도,부천시,상동,2022,10,전세,94.0,36298.09574468085,2022-10-01,apt
87,경기도,부천시,소사동,2022,10,전세,2.0,26550.0,2022-10-01,apt
88,경기도,부천시,소사본동,2022,10,월세,21.0,7094.190476190476,2022-10-01,apt
89,경기도,부천시,소사본동,2022,10,전세,35.0,29221.114285714284,2022-10-01,apt
90,경기도,부천시,심곡동,2022,10,월세,13.0,1261.5384615384614,2022-10-01,apt
91,경기도,부천시,심곡동,2022,10,전세,9.0,17294.444444444445,2022-10-01,apt
92,경기도,부천시,심곡본동,2022,10,월세,9.0,6222.222222222223,2022-10-01,apt
93,경기도,부천시,심곡본동,2022,10,전세,7.0,22200.0,2022-10-01,apt
94,경기도,부천시,약대동,2022,10,월세,7.0,3428.5714285714284,2022-10-01,apt
95,경기도,부천시,약대동,2022,10,전세,17.0,45794.117647058825,2022-10-01,apt
96,경기도,부천시,여월동,2022,10,월세,9.0,3373.0,2022-10-01,apt
97,경기도,부천시,여월동,2022,10,전세,6.0,45516.666666666664,2022-10-01,apt
98,경기도,부천시,역곡동,2022,10,월세,8.0,2500.0,2022-10-01,apt
99,경기도,부천시,역곡동,2022,10,전세,13.0,28421.53846153846,2022-10-01,apt
100,경기도,부천시,오정동,2022,10,월세,4.0,1750.0,2022-10-01,apt
101,경기도,부천시,오정동,2022,10,전세,9.0,19888.88888888889,2022-10-01,apt
102,경기도,부천시,옥길동,2022,10,월세,26.0,5712.2307692307695,2022-10-01,apt
103,경기도,부천시,옥길동,2022,10,전세,24.0,41747.916666666664,2022-10-01,apt
104,경기도,부천시,원미동,2022,10,월세,1.0,4000.0,2022-10-01,apt
105,경기도,부천시,원미동,2022,10,전세,4.0,34300.0,2022-10-01,apt
106,경기도,부천시,원종동,2022,10,월세,20.0,6125.0,2022-10-01,apt
107,경기도,부천시,원종동,2022,10,전세,31.0,19724.1935483871,2022-10-01,apt
108,경기도,부천시,작동,2022,10,전세,3.0,19000.0,2022-10-01,apt
109,경기도,부천시,중동,2022,10,월세,93.0,8410.430107526881,2022-10-01,apt
110,경기도,부천시,중동,2022,10,전세,191.0,30073.031413612567,2022-10-01,apt
111,경기도,부천시,춘의동,2022,10,월세,1.0,100.0,2022-10-01,apt
112,경기도,부천시,춘의동,2022,10,전세,5.0,32000.0,2022-10-01,apt
113,경기도,성남시 분당구,구미동,2022,10,월세,37.0,23000.054054054053,2022-10-01,apt
114,경기도,성남시 분당구,구미동,2022,10,전세,70.0,41963.614285714284,2022-10-01,apt
115,경기도,성남시 분당구,금곡동,2022,10,월세,30.0,24612.0,2022-10-01,apt
116,경기도,성남시 분당구,금곡동,2022,10,전세,54.0,44786.77777777778,2022-10-01,apt
117,경기도,성남시 분당구,대장동,2022,10,월세,2.0,12500.0,2022-10-01,apt
118,경기도,성남시 분당구,대장동,2022,10,전세,2.0,69500.0,2022-10-01,apt
119,경기도,성남시 분당구,백현동,2022,10,월세,28.0,51045.07142857143,2022-10-01,apt
120,경기도,성남시 분당구,백현동,2022,10,전세,16.0,107984.375,2022-10-01,apt
121,경기도,성남시 분당구,분당동,2022,10,월세,12.0,29375.0,2022-10-01,apt
122,경기도,성남시 분당구,분당동,2022,10,전세,33.0,58069.69696969697,2022-10-01,apt
123,경기도,성남시 분당구,삼평동,2022,10,월세,18.0,30908.944444444445,2022-10-01,apt
124,경기도,성남시 분당구,삼평동,2022,10,전세,29.0,78191.37931034483,2022-10-01,apt
125,경기도,성남시 분당구,서현동,2022,10,월세,49.0,33697.95918367347,2022-10-01,apt
126,경기도,성남시 분당구,서현동,2022,10,전세,93.0,64235.95698924731,2022-10-01,apt
127,경기도,성남시 분당구,수내동,2022,10,월세,35.0,46820.0,2022-10-01,apt
128,경기도,성남시 분당구,수내동,2022,10,전세,54.0,72032.5925925926,2022-10-01,apt
129,경기도,성남시 분당구,야탑동,2022,10,월세,29.0,17031.03448275862,2022-10-01,apt
130,경기도,성남시 분당구,야탑동,2022,10,전세,85.0,37661.07058823529,2022-10-01,apt
131,경기도,성남시 분당구,운중동,2022,10,월세,9.0,32777.77777777778,2022-10-01,apt
132,경기도,성남시 분당구,운중동,2022,10,전세,19.0,69063.15789473684,2022-10-01,apt
133,경기도,성남시 분당구,이매동,2022,10,월세,30.0,36458.333333333336,2022-10-01,apt
134,경기도,성남시 분당구,이매동,2022,10,전세,72.0,59798.61111111111,2022-10-01,apt
135,경기도,성남시 분당구,정자동,2022,10,월세,67.0,24657.55223880597,2022-10-01,apt
136,경기도,성남시 분당구,정자동,2022,10,전세,142.0,51720.5,2022-10-01,apt
137,경기도,성남시 분당구,판교동,2022,10,월세,24.0,41063.916666666664,2022-10-01,apt
138,경기도,성남시 분당구,판교동,2022,10,전세,28.0,75641.07142857143,2022-10-01,apt
139,경기도,성남시 수정구,고등동,2022,10,월세,21.0,11365.809523809523,2022-10-01,apt
140,경기도,성남시 수정구,고등동,2022,10,전세,5.0,73800.0,2022-10-01,apt
141,경기도,성남시 수정구,단대동,2022,10,월세,13.0,16386.46153846154,2022-10-01,apt
142,경기도,성남시 수정구,단대동,2022,10,전세,16.0,36871.875,2022-10-01,apt
143,경기도,성남시 수정구,수진동,2022,10,월세,5.0,18360.0,2022-10-01,apt
144,경기도,성남시 수정구,수진동,2022,10,전세,6.0,38083.333333333336,2022-10-01,apt
145,경기도,성남시 수정구,신흥동,2022,10,월세,31.0,20009.677419354837,2022-10-01,apt
146,경기도,성남시 수정구,신흥동,2022,10,전세,55.0,51516.36363636364,2022-10-01,apt
147,경기도,성남시 수정구,양지동,2022,10,월세,1.0,10000.0,2022-10-01,apt
148,경기도,성남시 수정구,양지동,2022,10,전세,1.0,35000.0,2022-10-01,apt
149,경기도,성남시 수정구,창곡동,2022,10,월세,48.0,27659.208333333332,2022-10-01,apt
150,경기도,성남시 수정구,창곡동,2022,10,전세,57.0,70734.36842105263,2022-10-01,apt
151,경기도,성남시 수정구,태평동,2022,10,월세,8.0,9220.0,2022-10-01,apt
152,경기도,성남시 수정구,태평동,2022,10,전세,30.0,33807.5,2022-10-01,apt
153,경기도,성남시 중원구,금광동,2022,10,월세,12.0,12166.666666666666,2022-10-01,apt
154,경기도,성남시 중원구,금광동,2022,10,전세,24.0,26243.541666666668,2022-10-01,apt
155,경기도,성남시 중원구,도촌동,2022,10,월세,38.0,5880.631578947368,2022-10-01,apt
156,경기도,성남시 중원구,도촌동,2022,10,전세,8.0,51002.5,2022-10-01,apt
157,경기도,성남시 중원구,상대원동,2022,10,월세,15.0,5746.666666666667,2022-10-01,apt
158,경기도,성남시 중원구,상대원동,2022,10,전세,28.0,20132.14285714286,2022-10-01,apt
159,경기도,성남시 중원구,성남동,2022,10,월세,7.0,13067.857142857143,2022-10-01,apt
160,경기도,성남시 중원구,성남동,2022,10,전세,7.0,28428.571428571428,2022-10-01,apt
161,경기도,성남시 중원구,여수동,2022,10,월세,3.0,20000.0,2022-10-01,apt
162,경기도,성남시 중원구,여수동,2022,10,전세,8.0,58375.0,2022-10-01,apt
163,경기도,성남시 중원구,은행동,2022,10,월세,6.0,13000.0,2022-10-01,apt
164,경기도,성남시 중원구,은행동,2022,10,전세,20.0,22600.0,2022-10-01,apt
165,경기도,성남시 중원구,중앙동,2022,10,월세,3.0,12833.333333333334,2022-10-01,apt
166,경기도,성남시 중원구,중앙동,2022,10,전세,8.0,48125.0,2022-10-01,apt
167,경기도,성남시 중원구,하대원동,2022,10,월세,5.0,17800.0,2022-10-01,apt
168,경기도,성남시 중원구,하대원동,2022,10,전세,12.0,39316.666666666664,2022-10-01,apt
169,경기도,수원시 권선구,금곡동,2022,10,월세,19.0,4610.631578947368,2022-10-01,apt
170,경기도,수원시 권선구,금곡동,2022,10,전세,38.0,27142.105263157893,2022-10-01,apt
171,경기도,수원시 권선구,고색동,2022,10,월세,6.0,6083.333333333333,2022-10-01,apt
172,경기도,수원시 권선구,고색동,2022,10,전세,17.0,21150.0,2022-10-01,apt
173,경기도,수원시 권선구,곡반정동,2022,10,월세,6.0,3833.3333333333335,2022-10-01,apt
174,경기도,수원시 권선구,곡반정동,2022,10,전세,4.0,27500.0,2022-10-01,apt
175,경기도,수원시 권선구,구운동,2022,10,월세,9.0,2705.5555555555557,2022-10-01,apt
176,경기도,수원시 권선구,구운동,2022,10,전세,10.0,23970.0,2022-10-01,apt
177,경기도,수원시 권선구,권선동,2022,10,월세,57.0,6375.877192982456,2022-10-01,apt
178,경기도,수원시 권선구,권선동,2022,10,전세,106.0,30058.075471698114,2022-10-01,apt
179,경기도,수원시 권선구,당수동,2022,10,월세,6.0,6833.333333333333,2022-10-01,apt
180,경기도,수원시 권선구,당수동,2022,10,전세,10.0,22400.0,2022-10-01,apt
181,경기도,수원시 권선구,서둔동,2022,10,월세,10.0,4300.0,2022-10-01,apt
182,경기도,수원시 권선구,서둔동,2022,10,전세,11.0,18636.363636363636,2022-10-01,apt
183,경기도,수원시 권선구,세류동,2022,10,월세,9.0,5571.111111111111,2022-10-01,apt
184,경기도,수원시 권선구,세류동,2022,10,전세,19.0,30631.57894736842,2022-10-01,apt
185,경기도,수원시 권선구,오목천동,2022,10,월세,79.0,10668.949367088608,2022-10-01,apt
186,경기도,수원시 권선구,오목천동,2022,10,전세,20.0,25067.5,2022-10-01,apt
187,경기도,수원시 권선구,입북동,2022,10,월세,3.0,1733.3333333333333,2022-10-01,apt
188,경기도,수원시 권선구,입북동,2022,10,전세,13.0,26396.153846153848,2022-10-01,apt
189,경기도,수원시 권선구,평동,2022,10,월세,2.0,4000.0,2022-10-01,apt
