년,월,구분,인구수,행정동코드,행정동,행정동_시도명,행정동_시군구명,행정동_읍면동명,행정동시군구코드,행정동읍면동코드,행정동_주소
2022,10,여자인구수,3277,1111069000,창신제3동,서울특별시,종로구,창신제3동,11110,69000,서울특별시 종로구 창신제3동
2022,10,총인구수,5793,1111070000,숭인제1동,서울특별시,종로구,숭인제1동,11110,70000,서울특별시 종로구 숭인제1동
2022,10,남자인구수,2784,1111070000,숭인제1동,서울특별시,종로구,숭인제1동,11110,70000,서울특별시 종로구 숭인제1동
2022,10,여자인구수,3009,1111070000,숭인제1동,서울특별시,종로구,숭인제1동,11110,70000,서울특별시 종로구 숭인제1동
2022,10,총인구수,9846,1111071000,숭인제2동,서울특별시,종로구,숭인제2동,11110,71000,서울특별시 종로구 숭인제2동
2022,10,남자인구수,4855,1111071000,숭인제2동,서울특별시,종로구,숭인제2동,11110,71000,서울특별시 종로구 숭인제2동
2022,10,여자인구수,4991,1111071000,숭인제2동,서울특별시,종로구,숭인제2동,11110,71000,서울특별시 종로구 숭인제2동
2022,10,총인구수,2244,1114052000,소공동,서울특별시,중구,소공동,11140,52000,서울특별시 중구 소공동
2022,10,남자인구수,1088,1114052000,소공동,서울특별시,중구,소공동,11140,52000,서울특별시 중구 소공동
2022,10,여자인구수,1156,1114052000,소공동,서울특별시,중구,소공동,11140,52000,서울특별시 중구 소공동
2022,10,총인구수,4556,1114054000,회현동,서울특별시,중구,회현동,11140,54000,서울특별시 중구 회현동
2022,10,남자인구수,2349,1114054000,회현동,서울특별시,중구,회현동,11140,54000,서울특별시 중구 회현동
2022,10,여자인구수,2207,1114054000,회현동,서울특별시,중구,회현동,11140,54000,서울특별시 중구 회현동
2022,10,총인구수,2807,1114055000,명동,서울특별시,중구,명동,11140,55000,서울특별시 중구 명동
2022,10,남자인구수,1235,1114055000,명동,서울특별시,중구,명동,11140,55000,서울특별시 중구 명동
2022,10,여자인구수,1572,1114055000,명동,서울특별시,중구,명동,11140,55000,서울특별시 중구 명동
2022,10,총인구수,3982,1114057000,필동,서울특별시,중구,필동,11140,57000,서울특별시 중구 필동
2022,10,남자인구수,2078,1114057000,필동,서울특별시,중구,필동,11140,57000,서울특별시 중구 필동
2022,10,여자인구수,1904,1114057000,필동,서울특별시,중구,필동,11140,57000,서울특별시 중구 필동
2022,10,총인구수,4584,1114058000,장충동,서울특별시,중구,장충동,11140,58000,서울특별시 중구 장충동
2022,10,남자인구수,2412,1114058000,장충동,서울특별시,중구,장충동,11140,58000,서울특별시 중구 장충동
2022,10,여자인구수,2172,1114058000,장충동,서울특별시,중구,장충동,11140,58000,서울특별시 중구 장충동
